sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_ScreenWidth,sys_CAPIDeviceID,ProlificID,SurveyID,SessionID,Consent1,SplitSample,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3
1,10 Mar 2023 - 18:09:51 MST,10 Mar 2023 - 18:09:58 MST,7,7,1678496991,1678496998,1,4,0,,Disqualified,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.3 Safari/605.1.15",Mac OS X 10.15.6,Safari 15.6.3,1366,,61701b3d10429115679ce4a3,64024c13edfbd03a3efa7bb9,640bd4cc764e3beadb4be64a,1,,,7,
2,10 Mar 2023 - 18:17:32 MST,10 Mar 2023 - 18:17:37 MST,5,5,1678497452,1678497457,1,5,0,,GridLink,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,393,,611ecb7f1d60cf06adc6ad17,64024c13edfbd03a3efa7bb9,640bd6a2bff19f781b417615,1,3,,5,
3,10 Mar 2023 - 18:18:27 MST,10 Mar 2023 - 18:18:35 MST,8,8,1678497507,1678497515,1,5,0,,CarouselLink,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",,Safari 604.1,375,,5f4bdc989ed8777ca5c963b3,64024c13edfbd03a3efa7bb9,640bd6dc462529a08ba9ec2f,1,2,,8,
4,10 Mar 2023 - 18:19:27 MST,10 Mar 2023 - 18:19:35 MST,8,8,1678497567,1678497575,1,5,0,,GridLink,1,"Mozilla/5.0 (Linux; Android 11; moto g power) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",Android 11,Chrome 111.0.0.0,412,,55884984fdf99b4021921e67,64024c13edfbd03a3efa7bb9,640bd7181f0e2c8dfc009e33,1,3,,8,
5,10 Mar 2023 - 18:19:49 MST,10 Mar 2023 - 18:19:55 MST,6,6,1678497589,1678497595,1,2,0,,CSSOLink,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,390,,5d3268a52b53a200195ebc30,64024c13edfbd03a3efa7bb9,640bd7179ebf80a1d6d511f8,1,1,,6,
6,10 Mar 2023 - 18:20:36 MST,10 Mar 2023 - 18:20:45 MST,9,9,1678497636,1678497645,1,2,0,,CSSOLink,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,390,,63d41913c1bf68e189d02298,64024c13edfbd03a3efa7bb9,640bd751b1a86ea80c13faa0,1,1,,9,
7,10 Mar 2023 - 18:21:34 MST,10 Mar 2023 - 18:22:03 MST,29,29,1678497694,1678497723,1,5,0,,VerticalLink,1,"Mozilla/5.0 (Linux; Android 8.1.0; LM-X210(G)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",Android 8.1.0,Chrome 109.0.0.0,360,,5e4cc66249c536107f36c342,64024c13edfbd03a3efa7bb9,640bd794bd87e9439956a47b,1,4,,29,
8,10 Mar 2023 - 18:21:51 MST,10 Mar 2023 - 18:22:01 MST,10,10,1678497711,1678497721,1,4,0,,Disqualified,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63",Windows 10.0,Edg 110.0.1587.63,1536,,63ec49c3c4ad2558568a494e,64024c13edfbd03a3efa7bb9,640bd7a7738e5c3ffee54689,1,,,10,
9,10 Mar 2023 - 18:25:03 MST,10 Mar 2023 - 18:25:15 MST,12,12,1678497903,1678497915,1,5,0,,GridLink,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,390,,5ef1980b60a4447bc1a5408c,64024c13edfbd03a3efa7bb9,640bd85f0390d70f70e50200,1,3,,12,
10,10 Mar 2023 - 18:28:31 MST,10 Mar 2023 - 18:28:39 MST,8,8,1678498111,1678498119,1,2,0,,CSSOLink,1,Mozilla/5.0 (Android 13; Mobile; rv:109.0) Gecko/110.0 Firefox/110.0,Android 13,Firefox 110.0,414,,62e60f38be3772e53ac0ca04,64024c13edfbd03a3efa7bb9,640bd935bb90ea9b51fa4ef8,1,1,,8,
