sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,PROLIFICPID,SESSIONID,SURVEYID,Q1,Q2,Q3,Q4,CBC_Random1,CBC_Random2,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random7,CBC_Random8,CBC_Random9,CBC_Random10,CBC_Random11,CBC_Random12,CBCSwipe_Con1,CBCSwipe_Con2,CBCSwipe_Con3,CBCSwipe_Con4,CBCSwipe_Con5,CBCSwipe_Con6,CBCSwipe_Con7,CBCSwipe_Con8,CBCSwipe_Con9,CBCSwipe_Con10,CBCSwipe_Con11,CBCSwipe_Con12,CBCSwipe_Con13,CBCSwipe_Con14,CBCSwipe_Con15,CBCSwipe_Con16,CBCSwipe_Con17,CBCSwipe_Con18,CBCSwipe_Con19,CBCSwipe_Con20,CBCSwipe_Con21,CBCSwipe_Con22,CBCSwipe_Con23,CBCSwipe_Con24,CBCSwipe_Con25,CBCSwipe_Con26,CBCSwipe_Con27,CBCSwipe_Con28,CBCSwipe_Con29,CBCSwipe_Con30,CBCSwipe_Con31,CBCSwipe_Con32,CBCSwipe_Con33,CBCSwipe_Con34,CBCSwipe_Con35,CBCSwipe_Con36,Gender,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Education,Income,Experience,Satisfaction_1,Satisfaction_2,Satisfaction_3,Satisfaction_4,Satisfaction_5,Satisfaction_6,Satisfaction_7,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27
1,10 Mar 2023 - 18:17:38 MST,10 Mar 2023 - 18:22:20 MST,282,278,1678497458,1678497740,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,100.14.1.50,393,,611ecb7f1d60cf06adc6ad17,640bd6a2bff19f781b417615,64024c13edfbd03a3efa7bb9,2,2,4,1,5,2,5,4,4,2,4,4,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,0,0,0,0,1,0,3,4,3,0,0,0,0,1,0,0,1,CBC1_1674746525_6,,7,3,6,10,30,38,14,14,12,9,15,20,12,9,15,15,10,,,3,4,5,4,6,7,10
2,10 Mar 2023 - 18:19:36 MST,10 Mar 2023 - 18:22:53 MST,197,197,1678497576,1678497773,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; moto g power) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",Android 11,Chrome 111.0.0.0,32.220.161.50,412,,55884984fdf99b4021921e67,640bd7181f0e2c8dfc009e33,64024c13edfbd03a3efa7bb9,4,2,4,5,1,1,4,1,4,1,1,4,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,4,3,2,1,0,0,0,1,0,0,2,CBC1_1674746525_6,,5,2,3,6,12,23,8,12,13,9,13,10,16,11,12,11,9,,,2,2,4,2,3,3,6
3,10 Mar 2023 - 18:25:17 MST,10 Mar 2023 - 18:31:52 MST,395,393,1678497917,1678498312,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,2607:fb91:96:85e:34d4:8d47:a836:d65b,390,,5ef1980b60a4447bc1a5408c,640bd85f0390d70f70e50200,64024c13edfbd03a3efa7bb9,2,1,4,5,1,2,1,3,3,2,1,4,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,3,2,2,1,0,1,0,1,0,0,3,CBC1_1674746525_6,,6,4,5,21,23,28,23,13,17,12,17,14,14,15,15,15,11,,,3,15,42,32,25,13,10
4,10 Mar 2023 - 18:38:39 MST,10 Mar 2023 - 18:43:00 MST,261,260,1678498719,1678498980,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/111.0.5563.72 Mobile/15E148 Safari/604.1",,Mobile 15E148,96.232.164.82,375,,63d144f6da5276bc020bc1fb,640bdb3b71158eddaca9ebf7,64024c13edfbd03a3efa7bb9,3,1,2,4,3,1,4,3,4,1,2,2,1,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,0,0,0,0,0,0,6,6,1,0,0,1,0,0,0,0,4,CBC1_1674746525_6,,8,4,3,12,10,24,34,11,17,15,15,14,11,10,13,13,11,,,3,4,3,8,4,4,9
5,10 Mar 2023 - 18:39:50 MST,10 Mar 2023 - 18:46:52 MST,422,422,1678498790,1678499212,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 12; IN2017) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",Android 12,Chrome 110.0.0.0,173.47.225.72,360,,565b530110593c0005ff97e4,640bdbdb1d4cd1ac551a16d2,64024c13edfbd03a3efa7bb9,2,1,4,2,3,1,2,1,1,4,3,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,3,2,2,1,0,1,1,1,0,0,5,CBC1_1674746525_6,,7,6,4,9,17,48,24,32,25,21,32,30,50,22,18,12,24,,,3,3,3,4,5,8,15
6,10 Mar 2023 - 18:42:13 MST,10 Mar 2023 - 18:45:14 MST,181,180,1678498933,1678499114,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; Pixel 6 Pro) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36",Android 13,Chrome 106.0.5249.126,47.22.141.251,412,,5d9d5ed27be0100013811fe8,640bdc6615eeb89d43fa4eea,64024c13edfbd03a3efa7bb9,2,1,1,5,5,1,2,5,2,5,2,2,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0,0,0,0,0,5,3,2,0,0,1,0,0,0,0,6,CBC1_1674746525_6,,6,3,4,9,4,30,7,11,17,16,10,8,6,7,5,7,9,,,2,3,2,2,3,4,5
7,10 Mar 2023 - 18:45:17 MST,10 Mar 2023 - 18:50:16 MST,299,297,1678499117,1678499416,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; SM-F711U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",Android 13,Chrome 110.0.0.0,2600:1001:b02d:3d38:19af:847:5ba6:cecd,412,,5c3413aa64829800018b164a,640bdd1228df2cb7214be626,64024c13edfbd03a3efa7bb9,2,1,3,1,2,5,3,1,2,1,1,4,4,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,3,2,2,0,0,0,0,1,0,0,7,CBC1_1674746525_6,,11,5,7,16,18,44,21,20,14,12,22,10,18,8,20,9,11,,,3,3,2,6,5,4,8
8,10 Mar 2023 - 18:47:19 MST,10 Mar 2023 - 18:51:25 MST,246,244,1678499239,1678499485,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,70.163.211.246,393,,56492ba96902220005c4a768,640bdd9a30037c07666ce698,64024c13edfbd03a3efa7bb9,2,1,2,7,1,4,4,2,2,2,1,2,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,5,4,2,1,0,1,1,1,0,0,8,CBC1_1674746525_6,,4,2,5,5,11,31,20,33,17,13,19,12,11,10,9,13,8,,,3,3,3,2,2,4,4
9,10 Mar 2023 - 18:48:45 MST,10 Mar 2023 - 18:54:00 MST,315,313,1678499325,1678499640,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; SM-S906U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",Android 13,Chrome 110.0.0.0,2601:545:c700:1d4f:6b50:d5d9:d00a:2067,384,,5f51667a8dff8f39dba7df7f,640bdde930037c07666ce69e,64024c13edfbd03a3efa7bb9,6,2,4,,4,4,4,3,4,4,4,1,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,0,0,0,0,0,0,5,5,3,1,0,0,0,1,0,0,9,CBC1_1674746525_6,,9,3,5,,15,21,13,13,109,10,7,16,14,9,13,8,9,,,4,3,3,3,7,8,11
10,10 Mar 2023 - 18:50:26 MST,10 Mar 2023 - 19:10:59 MST,1233,1230,1678499426,1678500659,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,Safari 604.1,2600:100f:b0a6:327d:3486:f80c:9c3f:39aa,390,,5c44c4e73be7b70001fd7312,640bde4b2f6ce6d87b2a767e,64024c13edfbd03a3efa7bb9,2,2,4,1,1,5,2,5,1,2,5,1,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,5,3,2,0,0,1,0,1,0,0,10,CBC1_1674746525_6,,800,4,51,8,8,93,29,94,16,11,10,18,11,11,13,12,11,,,2,4,3,4,5,3,9
