sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,PROLIFICPID,STUDYID,SESSIONID,Q1,Q2,Q3,Q4,CBC_Random1,CBC_Random2,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random7,CBC_Random8,CBC_Random9,CBC_Random10,CBC_Random11,CBC_Random12,CBCSwipe_Con1,CBCSwipe_Con2,CBCSwipe_Con3,CBCSwipe_Con4,CBCSwipe_Con5,CBCSwipe_Con6,CBCSwipe_Con7,CBCSwipe_Con8,CBCSwipe_Con9,CBCSwipe_Con10,CBCSwipe_Con11,CBCSwipe_Con12,CBCSwipe_Con13,CBCSwipe_Con14,CBCSwipe_Con15,CBCSwipe_Con16,CBCSwipe_Con17,CBCSwipe_Con18,CBCSwipe_Con19,CBCSwipe_Con20,CBCSwipe_Con21,CBCSwipe_Con22,CBCSwipe_Con23,CBCSwipe_Con24,CBCSwipe_Con25,CBCSwipe_Con26,CBCSwipe_Con27,CBCSwipe_Con28,CBCSwipe_Con29,CBCSwipe_Con30,CBCSwipe_Con31,CBCSwipe_Con32,CBCSwipe_Con33,CBCSwipe_Con34,CBCSwipe_Con35,CBCSwipe_Con36,Gender,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Education,Income,Experience,Satisfaction_1,Satisfaction_2,Satisfaction_3,Satisfaction_4,Satisfaction_5,Satisfaction_6,Satisfaction_7,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27
1,10 Mar 2023 - 18:19:57 MST,10 Mar 2023 - 18:23:14 MST,197,197,1678497597,1678497794,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,75.186.64.170,390,,5d3268a52b53a200195ebc30,64024c13edfbd03a3efa7bb9,640bd7179ebf80a1d6d511f8,5,2,4,5,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,2,5,1,0,0,0,0,0,0,3,4,2,1,0,1,1,1,0,0,1,CBC1_1674746525_6,,9,3,5,10,,,,,,,,,,,,,,11,122,2,6,4,5,5,4,11
2,10 Mar 2023 - 18:20:46 MST,10 Mar 2023 - 18:23:45 MST,179,178,1678497646,1678497825,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,2601:40e:4000:8ce0:e4f2:3eb1:9cf5:d20e,390,,63d41913c1bf68e189d02298,64024c13edfbd03a3efa7bb9,640bd751b1a86ea80c13faa0,2,2,4,2,,,,,,,,,,,,,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,1,0,0,0,0,0,0,5,6,2,1,0,0,0,1,0,0,2,CBC1_1674746525_6,,8,7,4,9,,,,,,,,,,,,,,2,117,3,3,4,4,3,4,10
3,10 Mar 2023 - 18:28:41 MST,10 Mar 2023 - 18:31:12 MST,151,151,1678498121,1678498272,1,5,0,,Terminate,1,Mozilla/5.0 (Android 13; Mobile; rv:109.0) Gecko/110.0 Firefox/110.0,Android 13,Firefox 110.0,107.77.206.165,414,,62e60f38be3772e53ac0ca04,64024c13edfbd03a3efa7bb9,640bd935bb90ea9b51fa4ef8,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,0,0,0,0,0,0,4,2,2,1,0,1,1,0,0,0,3,CBC1_1674746525_6,,7,4,3,6,,,,,,,,,,,,,,6,95,3,3,4,5,4,4,7
4,10 Mar 2023 - 18:34:15 MST,10 Mar 2023 - 18:38:41 MST,266,266,1678498455,1678498721,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; SM-G998U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",Android 13,Chrome 110.0.0.0,2607:fb91:1906:c4e6:b9df:ba11:e191:39db,384,,640bc58e374e2b687c756344,64024c13edfbd03a3efa7bb9,640bda6f0d2d2cdb742a7656,2,1,3,1,,,,,,,,,,,,,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,2,3,1,0,0,0,0,0,0,3,2,2,1,0,1,1,1,0,0,4,CBC1_1674746525_6,,5,5,4,19,,,,,,,,,,,,,,12,169,3,4,3,9,10,10,13
5,10 Mar 2023 - 18:36:59 MST,10 Mar 2023 - 18:48:06 MST,667,665,1678498619,1678499286,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,Safari 604.1,24.209.164.205,390,,60fd0018df64560bf9402e2c,64024c13edfbd03a3efa7bb9,640bdb258325b5b9be4dd0b8,6,1,2,,2,1,5,1,1,5,5,3,4,2,5,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,5,6,1,0,0,1,1,1,0,0,5,CBC1_1674746525_6,,8,4,2,,49,50,23,14,18,19,25,8,12,11,16,9,10,6,323,4,7,8,12,12,6,9
6,10 Mar 2023 - 18:37:40 MST,10 Mar 2023 - 18:42:57 MST,317,317,1678498660,1678498977,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",,Safari 604.1,2600:8801:980f:3400:9dd8:6937:7ec5:960d,390,,6149527a450140c071bd5c2e,64024c13edfbd03a3efa7bb9,640bdb33318e639dbebf838c,4,2,4,5,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,6,6,2,0,0,1,0,0,0,0,6,CBC1_1674746525_6,,11,42,4,10,,,,,,,,,,,,,,2,185,4,4,3,4,41,3,4
7,10 Mar 2023 - 18:39:12 MST,10 Mar 2023 - 18:42:44 MST,212,210,1678498752,1678498964,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 12; STTM21VAPP) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.104 Mobile Safari/537.36",Android 12,Chrome 96.0.4664.104,2600:1004:b167:5455:0:51:5aa2:f601,378,,63cb395e6c50d32162a7ae44,64024c13edfbd03a3efa7bb9,640bdb9ad8ad444fe8c94749,3,1,2,5,,,,,,,,,,,,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,7,CBC1_1674746525_6,,8,7,8,12,,,,,,,,,,,,,,20,115,5,4,4,4,10,7,6
8,10 Mar 2023 - 18:43:49 MST,10 Mar 2023 - 18:48:06 MST,257,257,1678499029,1678499286,1,5,0,,Terminate,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Mac OS X 10.15.7,Safari 16.3,2601:584:4500:8ea0:5c6c:f09c:c72d:95a1,414,,604a2aebd3928c04011454d7,64024c13edfbd03a3efa7bb9,640bdcc28e37084c920c79f9,2,1,1,2,,,,,,,,,,,,,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,2,0,1,0,0,0,0,0,3,2,2,1,0,0,0,1,0,0,8,CBC1_1674746525_6,,46,3,8,6,,,,,,,,,,,,,,10,103,11,25,15,14,4,6,6
9,10 Mar 2023 - 18:47:29 MST,10 Mar 2023 - 19:01:48 MST,859,859,1678499249,1678500108,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; SM-S908U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",Android 13,Chrome 110.0.0.0,2600:100f:b10a:b4a7:651a:9e0a:ae76:8d42,412,,63d14113ad4f0065c4122021,64024c13edfbd03a3efa7bb9,640bdda3bab101a4a675635c,4,1,2,2,,,,,,,,,,,,,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,2,1,0,0,0,0,0,0,5,3,2,1,0,1,1,1,0,0,9,CBC1_1674746525_6,,7,3,2,5,,,,,,,,,,,,,,4,810,3,3,4,3,3,3,9
10,10 Mar 2023 - 18:47:47 MST,10 Mar 2023 - 18:50:38 MST,171,171,1678499267,1678499438,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/110.0.1587.57 Version/16.0 Mobile/15E148 Safari/604.1",,Safari 604.1,72.240.167.26,375,,63ceebf3f8f0a415bc348bc0,64024c13edfbd03a3efa7bb9,640bddb38283142a95ef93aa,4,2,4,4,,,,,,,,,,,,,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,5,1,0,0,0,0,0,0,4,2,2,0,0,0,1,1,0,0,10,CBC1_1674746525_6,,5,3,5,12,,,,,,,,,,,,,,3,109,2,5,6,3,5,3,10
