sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,PROLIFICPID,SESSIONID,SURVEYID,Q1,Q2,Q3,Q4,CBC_Random1,CBC_Random2,CBC_Random3,CBC_Random4,CBC_Random5,CBC_Random6,CBC_Random7,CBC_Random8,CBC_Random9,CBC_Random10,CBC_Random11,CBC_Random12,CBCSwipe_Con1,CBCSwipe_Con2,CBCSwipe_Con3,CBCSwipe_Con4,CBCSwipe_Con5,CBCSwipe_Con6,CBCSwipe_Con7,CBCSwipe_Con8,CBCSwipe_Con9,CBCSwipe_Con10,CBCSwipe_Con11,CBCSwipe_Con12,CBCSwipe_Con13,CBCSwipe_Con14,CBCSwipe_Con15,CBCSwipe_Con16,CBCSwipe_Con17,CBCSwipe_Con18,CBCSwipe_Con19,CBCSwipe_Con20,CBCSwipe_Con21,CBCSwipe_Con22,CBCSwipe_Con23,CBCSwipe_Con24,CBCSwipe_Con25,CBCSwipe_Con26,CBCSwipe_Con27,CBCSwipe_Con28,CBCSwipe_Con29,CBCSwipe_Con30,CBCSwipe_Con31,CBCSwipe_Con32,CBCSwipe_Con33,CBCSwipe_Con34,CBCSwipe_Con35,CBCSwipe_Con36,Gender,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Education,Income,Experience,Satisfaction_1,Satisfaction_2,Satisfaction_3,Satisfaction_4,Satisfaction_5,Satisfaction_6,Satisfaction_7,sys_CBCVersion_CBC,sys_CBCDesignID_CBC,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27
1,10 Mar 2023 - 18:22:05 MST,10 Mar 2023 - 18:30:06 MST,481,477,1678497725,1678498206,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 8.1.0; LM-X210(G)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36",Android 8.1.0,Chrome 109.0.0.0,2603:8001:8002:9da5:a4ea:d30d:f087:208b,360,,5e4cc66249c536107f36c342,640bd794bd87e9439956a47b,64024c13edfbd03a3efa7bb9,3,2,4,6,2,3,5,3,5,5,5,1,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,3,1,2,0,0,0,0,1,0,0,1,CBC1_1674746525_6,,16,8,5,20,36,77,45,21,28,35,13,11,24,18,27,27,25,,,2,4,6,12,5,4,8
2,10 Mar 2023 - 18:30:55 MST,10 Mar 2023 - 18:35:31 MST,276,276,1678498255,1678498531,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",,Safari 604.1,2603:8001:4c00:6871:e815:3efb:27d1:e93,390,,62dcb56ed694f64640b46ecd,640bd9c2ff188d3b62d5a1b9,64024c13edfbd03a3efa7bb9,1,2,4,5,3,3,3,4,2,2,4,3,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,3,2,3,1,0,1,1,1,0,0,2,CBC1_1674746525_6,,9,3,11,13,38,43,25,12,13,12,10,6,11,11,10,10,10,,,3,3,4,5,4,4,6
3,10 Mar 2023 - 18:31:34 MST,10 Mar 2023 - 18:39:05 MST,451,448,1678498294,1678498745,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 11; SM-S102DL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",Android 11,Chrome 110.0.0.0,104.53.20.141,360,,5f9b38a3e8bb2a1c4db0515e,640bd9dd485334c5524be622,64024c13edfbd03a3efa7bb9,3,1,2,5,4,5,5,3,3,4,4,5,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,0,0,0,0,0,0,3,2,2,0,0,1,1,0,0,0,3,CBC1_1674746525_6,,12,4,6,13,35,49,41,27,25,23,24,18,30,33,26,22,20,,,3,3,5,4,5,5,15
4,10 Mar 2023 - 18:38:11 MST,10 Mar 2023 - 18:45:24 MST,433,432,1678498691,1678499124,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/110.0.5481.114 Mobile/15E148 Safari/604.1",,Mobile 15E148,2600:1700:4f02:5250:995:4eec:7d29:d79e,390,,5ec6963cbd8f9609fa549c29,640bdb5290f80b0ac0bcd3bf,64024c13edfbd03a3efa7bb9,1,2,4,2,3,1,5,5,4,2,5,1,5,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,5,3,2,1,0,1,0,1,0,0,4,CBC1_1674746525_6,,4,3,3,8,46,21,40,18,10,14,21,24,48,15,13,30,7,,,2,3,9,5,35,10,43
5,10 Mar 2023 - 18:48:58 MST,10 Mar 2023 - 18:59:21 MST,623,623,1678499338,1678499961,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/110.0.5481.114 Mobile/15E148 Safari/604.1",,Mobile 15E148,2604:2d80:bd00:e200::133a,390,,63f937618aaa270e60d9ebb5,640bddf18283142a95ef93ad,64024c13edfbd03a3efa7bb9,6,1,3,,1,2,2,2,2,4,1,3,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0,0,0,0,0,5,3,2,0,0,0,0,1,1,0,5,CBC1_1674746525_6,,8,3,4,,16,77,48,32,27,30,48,26,42,31,48,24,85,,,2,4,5,23,10,8,22
6,10 Mar 2023 - 18:49:34 MST,10 Mar 2023 - 18:51:29 MST,115,114,1678499374,1678499489,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,Safari 604.1,172.101.105.13,428,,63ed15bed4665c62d9e6dbb2,640bde228cb15c9f51fa4eee,64024c13edfbd03a3efa7bb9,1,2,4,1,2,4,5,4,5,5,2,2,1,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,3,2,2,1,0,1,1,0,0,0,6,CBC1_1674746525_6,,6,3,4,4,3,10,9,4,5,5,3,6,5,7,5,5,5,,,2,5,3,4,4,2,5
7,10 Mar 2023 - 18:49:47 MST,10 Mar 2023 - 18:58:51 MST,544,542,1678499387,1678499931,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",,Safari 604.1,68.100.218.129,390,,610705a758324516ead91299,640bde207bce81f326009e28,64024c13edfbd03a3efa7bb9,6,1,3,,1,3,5,1,3,2,1,1,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,0,0,0,0,3,6,1,0,0,1,0,1,0,0,7,CBC1_1674746525_6,,6,4,10,,18,41,26,55,48,39,24,50,32,46,33,39,28,,,4,5,4,5,6,5,14
8,10 Mar 2023 - 18:50:11 MST,10 Mar 2023 - 18:55:42 MST,331,329,1678499411,1678499742,1,5,0,,Terminate,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1",,Safari 604.1,2601:41:c381:2480:1d0:fd50:2196:d145,390,,63d7c6ab61cc331a9faa25a2,640bde468b25677c1dccdd65,64024c13edfbd03a3efa7bb9,1,2,4,5,5,3,1,4,4,4,4,4,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,4,2,2,0,0,0,1,0,0,0,8,CBC1_1674746525_6,,7,4,4,8,2,14,10,8,15,20,9,8,7,12,6,24,55,,,3,4,5,66,12,19,7
9,10 Mar 2023 - 18:51:05 MST,10 Mar 2023 - 18:56:09 MST,304,301,1678499465,1678499769,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-G981U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36",Android 13,Chrome 106.0.5249.126,2607:fb90:8da8:6467:410b:94d3:3934:a52f,360,,610acf76d33d448b391eb588,640bde79fb14639e50009de2,64024c13edfbd03a3efa7bb9,3,1,4,5,2,1,1,5,1,2,1,3,5,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,0,0,0,0,0,3,1,1,1,0,0,1,1,0,0,9,CBC1_1674746525_6,,7,6,7,17,12,38,23,26,13,12,22,16,10,10,14,16,23,,,2,4,3,3,4,3,10
10,10 Mar 2023 - 18:53:54 MST,10 Mar 2023 - 19:00:13 MST,379,376,1678499634,1678500013,1,5,0,,Terminate,1,"Mozilla/5.0 (Linux; Android 13; Pixel 6 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",Android 13,Chrome 111.0.0.0,97.129.57.185,374,,5e8f53644b34ff22d9b3a1c5,640bdebd51f976ed5e4be61d,64024c13edfbd03a3efa7bb9,2,1,3,5,1,5,1,4,2,4,2,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,0,0,0,0,0,0,2,3,2,1,0,0,1,1,0,0,10,CBC1_1674746525_6,,6,4,15,12,23,35,20,45,19,39,15,29,16,35,12,10,12,,,3,2,4,2,5,3,10
