"Version","Task","Concept","Att 1 - Brand","Att 2 - Verified Buyer Ratings","Att 3 - Mattress Type","Att 4 - Firmness","Att 5 - Trial Period","Att 6 - Warranty","Att 7 - Price (Queen)"
1,1,1,6,5,3,4,2,1,6
1,1,2,3,4,5,5,3,4,7
1,1,3,14,1,2,3,1,3,3
1,1,4,10,2,1,1,4,2,5
1,2,1,16,1,5,5,3,2,1
1,2,2,8,4,2,1,4,4,4
1,2,3,2,5,3,4,2,3,3
1,2,4,9,3,4,2,1,1,2
1,3,1,13,2,4,3,3,1,5
1,3,2,4,5,2,1,4,3,2
1,3,3,11,1,3,4,2,4,4
1,3,4,5,3,1,2,1,2,6
1,4,1,15,3,4,3,4,1,7
1,4,2,1,2,1,2,2,2,1
1,4,3,7,5,3,4,3,3,3
1,4,4,12,4,5,5,1,4,4
1,5,1,1,1,5,1,3,1,2
1,5,2,7,3,1,2,2,3,6
1,5,3,12,2,2,5,4,2,5
1,5,4,8,4,4,3,1,4,7
1,6,1,3,3,2,4,3,2,5
1,6,2,13,2,5,2,4,4,7
1,6,3,4,1,3,5,2,1,4
1,6,4,2,4,4,1,1,3,1
1,7,1,9,4,2,1,3,1,2
1,7,2,16,2,4,5,2,3,3
1,7,3,6,3,5,2,4,4,1
1,7,4,14,5,1,3,1,2,6
1,8,1,5,4,5,5,4,2,6
1,8,2,10,3,2,2,2,4,2
1,8,3,15,1,1,3,1,3,3
1,8,4,11,5,3,4,3,1,7
1,9,1,12,5,1,1,2,1,5
1,9,2,10,3,2,2,4,2,2
1,9,3,3,2,4,3,1,3,4
1,9,4,11,1,3,4,3,4,1
1,10,1,2,1,3,1,2,3,1
1,10,2,1,4,4,5,1,2,3
1,10,3,4,5,1,4,3,4,4
1,10,4,9,2,5,3,4,1,6
1,11,1,15,1,5,1,1,4,5
1,11,2,7,5,3,5,3,1,7
1,11,3,6,2,2,4,4,2,6
1,11,4,16,4,4,3,2,3,1
1,12,1,14,5,3,3,4,1,5
1,12,2,5,3,1,2,2,4,7
1,12,3,8,4,4,4,3,2,3
1,12,4,13,2,2,5,1,3,2
2,1,1,7,2,3,3,2,2,1
2,1,2,12,1,1,2,4,4,4
2,1,3,11,5,2,4,1,1,6
2,1,4,16,3,5,1,3,3,5
2,2,1,10,4,4,5,3,3,2
2,2,2,1,1,1,1,1,1,3
2,2,3,14,5,2,3,4,4,4
2,2,4,6,3,5,2,2,2,7
2,3,1,2,3,3,1,4,1,7
2,3,2,9,1,4,4,2,4,2
2,3,3,8,4,1,2,1,3,6
2,3,4,15,2,5,5,3,2,1
2,4,1,4,1,5,2,2,2,2
2,4,2,13,5,4,3,4,3,4
2,4,3,5,3,1,1,1,1,3
2,4,4,3,4,3,5,3,4,5
2,5,1,10,1,3,2,3,1,4
2,5,2,4,2,2,4,1,3,1
2,5,3,9,3,5,5,2,2,7
2,5,4,5,5,1,3,4,4,3
2,6,1,15,2,4,4,3,1,6
2,6,2,8,4,2,1,1,3,5
2,6,3,16,3,3,5,4,2,7
2,6,4,2,1,5,2,2,4,4
2,7,1,3,2,2,4,4,3,1
2,7,2,13,4,4,3,2,2,3
2,7,3,12,1,5,5,1,1,2
2,7,4,14,5,1,1,3,4,5
2,8,1,6,3,1,1,4,4,4
2,8,2,11,2,4,4,1,2,1
2,8,3,1,4,3,2,2,3,7
2,8,4,7,5,2,3,3,1,6
2,9,1,2,2,5,4,3,3,5
2,9,2,10,3,4,2,2,1,2
2,9,3,12,5,2,5,1,2,6
2,9,4,6,1,1,1,4,4,3
2,10,1,8,4,3,3,1,3,7
2,10,2,9,2,2,2,4,4,2
2,10,3,5,5,5,5,2,1,5
2,10,4,3,3,4,4,3,2,3
2,11,1,14,5,2,4,1,1,6
2,11,2,1,1,3,3,4,3,1
2,11,3,16,4,1,1,3,2,4
2,11,4,7,2,5,5,2,4,2
2,12,1,15,2,5,4,1,3,7
2,12,2,4,4,4,3,2,2,3
2,12,3,13,3,3,2,4,4,4
2,12,4,11,1,1,1,3,1,6
3,1,1,5,3,1,2,1,2,2
3,1,2,6,5,2,1,2,3,1
3,1,3,2,1,4,3,4,1,4
3,1,4,9,4,3,5,3,4,5
3,2,1,8,1,4,4,3,2,1
3,2,2,1,5,3,3,1,1,3
3,2,3,14,4,1,5,2,4,6
3,2,4,11,3,5,2,4,3,7
3,3,1,13,1,3,3,4,4,2
